name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A5	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A6	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A7	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A8	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B5	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B6	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B7	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B8	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
C1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
C2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
C3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
C4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
D1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
D2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
D3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
D4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
E1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
E2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
E3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
E4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
E5	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
E6	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
F1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
F2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
F3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
F4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
F5	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
F6	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
G1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
G2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
G3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
G4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
G5	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
G6	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
H1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
H2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
H3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
H4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
K01	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
K02	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
K03	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
K04	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
